Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status,,
1fb46ae8,Tesla Model ,NMC,75,41,90,21.5,0.51,2.22,Aggressive,,94.6,Healthy,,
b7ef5aa,Tesla Model ,,75,29,1,18,0.62,1.4,Aggressive,0,95.68,Healthy,,
76cb49e0,Ford Mustang Mach-E,NMC,88,71,941,18.4,0.78,1.48,Conservative,0.0526,89.8,Healthy,,
456a7aef,Ford Mustang Mach-E,NMC,88,57,78,10.8,0.61,0.72,Moderate,,96.29,Healthy,,
bd758049,Tesla Model ,,75,58,29,0,0.89,1.48,Conservative,,96.75,Healthy,,
d5f95b58,Hyundai Ioniq 5,,72.6,27,225,20,0.5,,Moderate,0.0265,98.07,Healthy,,
b15d980,Hyundai Ioniq 5,NMC,72.6,49,74,0.2,0.51,0.65,Conservative,0.01,94.2,Healthy,,
a99c510d,,NMC,72.6,12,121,27.4,0.29,1.41,Moderate,0.022,98.76,Healthy,,
9d628060,Ford Mustang Mach-E,NMC,88,,170,2.7,0.71,1.2,Conservative,0.026,98.5,Healthy,,
c06175d,Wuling Air EV,LFP,26,12,,19.6,0.59,1.5,Conservative,0.0208,,Healthy,,4
92c6da8,Tesla Model ,NMC,75,55,526,25,0.75,1.7,Conservative,0.05,94.76,Healthy,,
57c2fd,Wuling Air EV,LFP,26,51,718,19.9,0.26,1.4,Moderate,0.0288,96.42,Healthy,,
66f112,Wuling Air EV,LFP,26,66,6,18.1,0,0.95,Aggressive,0.026,96.2,Healthy,,
ee2ad6,BYD Atto ,,60,7,102,0,0.52,,Aggressive,0.0211,98.95,Healthy,,
6f170772,Ford Mustang Mach-E,,88,55,504,7,0.48,0.96,Moderate,0.024,95.28,Healthy,,
4.10E+102,Tesla Model ,NMC,75,81,948,2.1,0.67,1.9,Moderate,,90.14,Healthy,,
0d0dd5,Ford Mustang Mach-E,NMC,88,,5,0.7,0.67,1.12,Moderate,0.019,95.97,Healthy,,
d17fbc4,Ford Mustang Mach-E,NMC,88,90,84,28.6,0.88,,Conservative,0.0451,91.44,Healthy,,
2744e2d,Hyundai Ioniq 5,NMC,72.6,5,14,,0.15,2.26,Moderate,0.028,98.79,Healthy,,
8.46E+06,Wuling Air EV,LFP,26,67,951,20.1,0.6,0.9,Aggressive,0.04,9.6,Healthy,,
2f0aefbd,,,26,60,577,2.7,0.8,2.12,Aggressive,,95.22,Healthy,,
b8c8e0d,Ford Mustang Mach-E,,88,85,1188,2.5,0.8,1.1,Moderate,0.057,87.1,Healthy,,
1b172146,Tesla Model ,,75,57,660,6,0.79,,Moderate,0.0467,91.8,Healthy,,
56977bf,Wuling Air EV,LFP,26,24,51,24.5,0.84,1.46,Moderate,0.0227,98.6,Healthy,,
b7747f7,Tesla Model ,NMC,75,84,582,16.2,0.5,0.69,Aggressive,0.0425,92.86,Healthy,,
4a5bf5,Wuling Air EV,,26,19,169,0.7,0.01,,Moderate,0.0215,98.64,Healthy,,
8b6ceff,Ford Mustang Mach-E,NMC,88,70,997,27.6,0.08,2.09,Conservative,0.044,92.41,Healthy,,
4c8dfb1,,LFP,60,16,17,,0.75,2.41,Moderate,,98.67,Healthy,,
cf552ca,Hyundai Ioniq 5,NMC,72.6,20,81,15.5,0.66,1.65,Conservative,0.0218,99.7,Healthy,,
ca1068b2,Wuling Air EV,,26,89,1061,,0.1,,Conservative,0,94.6,Healthy,,
ccdafe,Ford Mustang Mach-E,,88,17,247,,0.88,1.51,Moderate,0.0284,97.7,Healthy,,
89160ca6,Tesla Model ,NMC,75,54,61,0.4,0.94,,Moderate,0.0456,91.6,Healthy,,
56db8b5,Ford Mustang Mach-E,NMC,88,,8,2.6,0.9,0.8,Moderate,0.018,96.2,Healthy,,
4474f4e,BYD Atto ,LFP,60,49,20,25.4,0.11,2.28,Conservative,0.0219,98.96,Healthy,,
252f5912,Tesla Model ,NMC,75,45,499,28.6,0.9,2.9,Moderate,0.09,9.96,Healthy,,
f98b1c,Tesla Model ,NMC,75,66,609,21.7,0.68,1.4,Conservative,0.085,94.18,Healthy,,
2.67E+08,Tesla Model ,NMC,75,64,92,5.4,0.57,2.11,Aggressive,0.0627,85.61,Healthy,,
e0b901d0,BYD Atto ,LFP,60,76,78,18.4,0.4,1.17,Aggressive,0.011,94.8,Healthy,,
7f04694,Ford Mustang Mach-E,NMC,88,0,4,20,0.07,,Conservative,0.0299,97.02,Healthy,,
e44f17c7,BYD Atto ,LFP,60,8,117,28.2,0.05,1.59,Conservative,0.017,94.48,Healthy,,
45f2064,Tesla Model ,NMC,75,58,785,1.1,0.64,,Conservative,0.0454,91.7,Healthy,,
d1fb81b9,Tesla Model ,NMC,75,17,188,20.5,0.22,2.27,Aggressive,0.025,98.78,Healthy,,
ae6eb61,BYD Atto ,LFP,60,21,26,12.9,0.19,1.05,Conservative,0.02,98.92,Healthy,,
ba6657,,NMC,88,54,71,1.8,0.8,,Moderate,0.08,92.9,Healthy,,
872c5777,BYD Atto ,LFP,60,4,9,27,1,2.1,,0.028,97.55,Healthy,,
b57dbee,Hyundai Ioniq 5,NMC,72.6,60,56,1,0.52,1.9,Conservative,,97.21,Healthy,,
ad1a6bc,Ford Mustang Mach-E,NMC,88,68,867,,0.82,2.2,,0.0567,87.52,Healthy,,
98e741f2,BYD Atto ,LFP,60,1,14,42.9,0.88,1.79,Moderate,0.02,99.8,Healthy,,
8bcfe88,Wuling Air EV,LFP,26,70,88,41.2,0.85,1.84,Moderate,0.098,90.45,Healthy,,
46976fb,Tesla Model ,NMC,75,46,612,20.1,0.5,1.87,Moderate,,9.9,Healthy,,
